Country,January,February,March,April,May,June,July,August,September,October,November,December,Total,id
United States,520339.0,476418.0,565904.0,496860.0,459915.0,467094.0,454310.0,450380.0,480695.0,606155.0,513918.0,575207.0,6067195.0,USA
Germany,441830.0,346155.0,312023.0,330729.0,258165.0,278946.0,307045.0,430473.0,432963.0,612635.0,672547.0,593193.0,5016704.0,DEU
Italy,194631.0,204464.0,245960.0,279178.0,185307.0,170532.0,213534.0,221622.0,336127.0,433496.0,390694.0,256384.0,3131929.0,ITA
Belgium,178988.0,137883.0,136811.0,104135.0,76138.0,123321.0,299108.0,255250.0,122908.0,236905.0,283125.0,257302.0,2211874.0,BEL
China,66458.0,32925.0,78615.0,35883.0,67772.0,66980.0,59414.0,193496.0,62629.0,254664.0,228559.0,336156.0,1483551.0,CHN
Turkey,80190.0,63661.0,117737.0,97552.0,101641.0,82638.0,129380.0,98402.0,117425.0,188983.0,141601.0,146565.0,1365775.0,
United Kingdom,78491.0,58324.0,71747.0,56651.0,49914.0,55730.0,50808.0,181430.0,153352.0,186083.0,298882.0,60145.0,1301557.0,GBR
Netherlands,83693.0,83529.0,99621.0,82835.0,74061.0,77314.0,113572.0,151105.0,86082.0,118733.0,148995.0,113760.0,1233300.0,NLD
Colombia,104796.0,121383.0,101361.0,109758.0,103439.0,111837.0,93344.0,124992.0,73273.0,85250.0,91104.0,41468.0,1162005.0,COL
Spain,71692.0,45641.0,84069.0,67121.0,62965.0,58510.0,92797.0,93103.0,92371.0,94201.0,106261.0,96453.0,965184.0,ESP
South Korean,79716.0,59495.0,89144.0,71064.0,55889.0,72676.0,52595.0,95604.0,66548.0,76234.0,112077.0,133456.0,964498.0,
France,91317.0,47380.0,83702.0,91573.0,63404.0,53672.0,37713.0,40240.0,57548.0,94799.0,69902.0,47324.0,778574.0,FRA
Argentina,55962.0,73718.0,92377.0,89336.0,69928.0,84806.0,60819.0,56836.0,60638.0,47095.0,22729.0,11601.0,725845.0,ARG
Russia,71429.0,14462.0,82749.0,22073.0,38795.0,35813.0,73589.0,64601.0,77754.0,53427.0,52915.0,95041.0,682648.0,
Sweden,50416.0,50449.0,45568.0,76060.0,48914.0,48939.0,47095.0,64010.0,59753.0,54583.0,63986.0,45935.0,655708.0,SWE
Canada,40308.0,41809.0,42835.0,37402.0,38232.0,52749.0,62869.0,58528.0,57080.0,70030.0,65227.0,55997.0,623066.0,CAN
Mexico,11236.0,16140.0,11257.0,11165.0,8180.0,35669.0,36999.0,79541.0,101974.0,81689.0,67720.0,154829.0,616399.0,MEX
Finland,59161.0,41013.0,52029.0,48093.0,44243.0,70508.0,32904.0,63445.0,50207.0,50263.0,62974.0,32247.0,607087.0,FIN
Grecee,39995.0,21282.0,44429.0,41611.0,33510.0,44095.0,36684.0,40170.0,39169.0,67371.0,48362.0,37646.0,494324.0,
Australia,38325.0,25938.0,40877.0,34641.0,29267.0,27842.0,27422.0,38556.0,18331.0,44239.0,39761.0,68813.0,434012.0,AUS
Indonesia,7614.0,22060.0,23340.0,21839.0,20799.0,30512.0,57207.0,28783.0,46151.0,66156.0,40889.0,50541.0,415891.0,IDN
Poland,18891.0,22080.0,17965.0,21520.0,22619.0,22196.0,20151.0,37908.0,37715.0,28005.0,39634.0,39197.0,327881.0,POL
Algeria,2533.0,2987.0,14387.0,13454.0,5840.0,5880.0,46599.0,54584.0,52161.0,35896.0,71960.0,11358.0,317639.0,DZA
Lebanon,14354.0,10744.0,41536.0,24236.0,34289.0,20421.0,15421.0,11043.0,25776.0,25305.0,55695.0,30384.0,309204.0,LBN
Slovenia,24100.0,20152.0,27258.0,22723.0,12076.0,18610.0,23777.0,30893.0,14536.0,48692.0,29719.0,18573.0,291109.0,SVN
Chile,8787.0,24253.0,20402.0,33741.0,21524.0,27542.0,26928.0,23424.0,8800.0,12242.0,11540.0,42714.0,261897.0,CHL
Jordan,16160.0,6477.0,24908.0,20510.0,15553.0,11001.0,18278.0,10330.0,19730.0,43610.0,24417.0,45502.0,256476.0,JOR
United Arab Emirates,11388.0,15835.0,21119.0,11337.0,12162.0,15894.0,23862.0,20164.0,21990.0,43102.0,29171.0,26312.0,252336.0,ARE
Malaysia,19356.0,11812.0,10994.0,20246.0,23450.0,15280.0,13752.0,24843.0,13829.0,25419.0,27132.0,29405.0,235518.0,MYS
Taiwan,14908.0,17261.0,15935.0,16229.0,12516.0,11563.0,10279.0,19598.0,15493.0,29056.0,21710.0,28124.0,212672.0,TWN
Noway,14348.0,15556.0,22543.0,16638.0,11918.0,11720.0,9358.0,38636.0,16850.0,13023.0,19044.0,21717.0,211351.0,
Vietnam,1333.0,12658.0,12070.0,0.0,15708.0,17724.0,20339.0,27443.0,26996.0,9393.0,17250.0,24858.0,185772.0,VNM
Saudi Arabia,11418.0,10127.0,11024.0,9207.0,7875.0,14347.0,22989.0,16889.0,26371.0,15186.0,16771.0,14687.0,176891.0,SAU
Ecuador,9450.0,7081.0,4546.0,3986.0,8706.0,10942.0,11768.0,17241.0,29083.0,21239.0,24730.0,21658.0,170430.0,ECU
Dominican Republic,23620.0,6390.0,7451.0,0.0,3675.0,640.0,268.0,6728.0,439.0,28332.0,53742.0,32092.0,163377.0,DOM
