CO_ANO,CO_MES,NO_NCM_ING,NO_PAIS_ING,KG_LIQUIDO
2009,1,"Coffee not roasted or decaffeinated, except in grain",Canada,26
2009,1,"Coffee not roasted or decaffeinated, except in grain",Portugal,5
2009,1,"Coffee not roasted or decaffeinated, in grain",Algeria,153600
2009,1,"Coffee not roasted or decaffeinated, in grain",Angola,30
2009,1,"Coffee not roasted or decaffeinated, in grain",Argentina,1948285
2009,1,"Coffee not roasted or decaffeinated, in grain",Australia,580800
2009,1,"Coffee not roasted or decaffeinated, in grain",Austria,84000
2009,1,"Coffee not roasted or decaffeinated, in grain",Belgium,10667520
2009,1,"Coffee not roasted or decaffeinated, in grain",Bulgaria,64800
2009,1,"Coffee not roasted or decaffeinated, in grain",Canada,2188380
2009,1,"Coffee not roasted or decaffeinated, in grain",Cape Verde,38400
2009,1,"Coffee not roasted or decaffeinated, in grain",Chile,393000
2009,1,"Coffee not roasted or decaffeinated, in grain",China,38400
2009,1,"Coffee not roasted or decaffeinated, in grain",Croatia,518400
2009,1,"Coffee not roasted or decaffeinated, in grain",Cyprus,153900
2009,1,"Coffee not roasted or decaffeinated, in grain",Czech Republic,151200
2009,1,"Coffee not roasted or decaffeinated, in grain",Denmark,609700
2009,1,"Coffee not roasted or decaffeinated, in grain",Ecuador,307200
2009,1,"Coffee not roasted or decaffeinated, in grain",Egypt,249600
2009,1,"Coffee not roasted or decaffeinated, in grain",Estonia,230400
2009,1,"Coffee not roasted or decaffeinated, in grain",Finland,2488800
2009,1,"Coffee not roasted or decaffeinated, in grain",France,4260600
2009,1,"Coffee not roasted or decaffeinated, in grain",Germany,27763200
2009,1,"Coffee not roasted or decaffeinated, in grain",Greece,1849800
2009,1,"Coffee not roasted or decaffeinated, in grain",Hong Kong,76800
2009,1,"Coffee not roasted or decaffeinated, in grain",Iceland,19200
2009,1,"Coffee not roasted or decaffeinated, in grain",Ireland,38400
2009,1,"Coffee not roasted or decaffeinated, in grain",Israel,96050
2009,1,"Coffee not roasted or decaffeinated, in grain",Italy,14350820
2009,1,"Coffee not roasted or decaffeinated, in grain",Japan,9904840
2009,1,"Coffee not roasted or decaffeinated, in grain",Jordan,240000
2009,1,"Coffee not roasted or decaffeinated, in grain",Latvia,38400
2009,1,"Coffee not roasted or decaffeinated, in grain",Lebanon,1357800
2009,1,"Coffee not roasted or decaffeinated, in grain",Malaysia,18000
2009,1,"Coffee not roasted or decaffeinated, in grain",Mexico,76800
2009,1,"Coffee not roasted or decaffeinated, in grain",Morocco,76800
2009,1,"Coffee not roasted or decaffeinated, in grain",Netherlands,1887900
2009,1,"Coffee not roasted or decaffeinated, in grain",New Zealand,76800
2009,1,"Coffee not roasted or decaffeinated, in grain",North Korea,12600
2009,1,"Coffee not roasted or decaffeinated, in grain",Norway,1839900
2009,1,"Coffee not roasted or decaffeinated, in grain",Oman,19200
2009,1,"Coffee not roasted or decaffeinated, in grain",Peru,96000
