Country,id,Bean Exports,Bean Imports,Exports,Imports,Roast & Ground Exports,Roast & Ground Imports,Soluble Exports,Soluble Imports,Total Distribution,Production
Albania,ALB,0.0,25.9375,0.0,25.9375,0.0,0.0,0.0,0.0,25.9375,0.0
Algeria,DZA,0.0,706.640625,0.0,717.03125,0.0,0.0,0.0,10.390625,717.03125,0.0
Angola,AGO,838.765625,0.0,838.765625,0.0,0.0,0.0,0.0,0.0,2099.671875,872.296875
Argentina,ARG,0.0,170.0,0.0,262.71875,0.0,5.21875,0.0,87.5,262.71875,0.0
Armenia,ARM,0.0,41.09375,0.0,41.09375,0.0,0.0,0.0,0.0,41.09375,0.0
Australia,AUS,0.0,419.609375,0.0,551.40625,0.0,45.859375,0.0,85.9375,551.40625,0.0
Benin,BEN,13.0625,0.0,13.0625,0.0,0.0,0.0,0.0,0.0,14.265625,13.578125
Bolivia,BOL,71.9375,0.0,71.9375,0.0,0.0,0.0,0.0,0.0,174.328125,115.03125
Bosnia and Herzegovina,BIH,0.0,98.984375,0.0,98.984375,0.0,0.0,0.0,0.0,98.984375,0.0
Brazil,BRA,20539.078125,0.25,22801.8125,11.28125,28.171875,11.03125,2234.5625,0.0,55003.65625,34705.46875
Burundi,BDI,342.375,0.0,342.375,0.0,0.0,0.0,0.0,0.0,454.140625,345.40625
Cameroon,CMR,998.078125,1.25,1003.109375,2.625,5.03125,0.09375,0.0,1.28125,1398.71875,1051.34375
Canada,CAN,0.0,839.453125,0.0,1442.5,0.0,215.9375,0.0,387.109375,1442.5,0.0
Central African Republic,CAF,123.703125,0.0,123.703125,0.0,0.0,0.0,0.0,0.0,221.109375,136.859375
Chile,CHL,0.0,76.71875,0.0,76.71875,0.0,0.0,0.0,0.0,76.71875,0.0
China,CHN,241.46875,279.046875,355.125,632.234375,10.09375,57.265625,103.5625,295.921875,1125.90625,437.09375
Colombia,COL,9339.59375,252.1875,9808.359375,282.828125,53.609375,4.390625,415.15625,26.25,15051.640625,11022.5
Costa Rica,CRI,1530.53125,33.046875,1540.828125,40.921875,9.734375,2.359375,0.5625,5.515625,2255.671875,1769.03125
Croatia,HRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,CUB,109.03125,66.890625,109.03125,66.890625,0.0,0.0,0.0,0.0,487.203125,317.796875
Dominican Republic,DOM,302.84375,0.0,321.046875,0.0,18.203125,0.0,0.0,0.0,779.078125,605.0
Ecuador,ECU,749.859375,180.109375,1066.578125,207.3125,7.015625,0.578125,309.703125,26.625,1510.375,1078.21875
Egypt,EGY,0.0,124.21875,0.0,124.21875,0.0,0.0,0.0,0.0,124.21875,0.0
El Salvador,SLV,1741.21875,7.0,1766.109375,67.0625,0.625,3.9375,24.265625,56.125,2350.953125,1892.75
Equatorial Guinea,GNQ,25.734375,0.0,25.734375,0.0,0.0,0.0,0.0,0.0,33.234375,30.375
Ethiopia,ETH,2171.109375,0.0,2171.109375,0.0,0.0,0.0,0.0,0.0,4775.25,4052.953125
Gabon,GAB,8.234375,0.0,8.234375,0.0,0.0,0.0,0.0,0.0,10.546875,9.5
Georgia,GEO,0.0,20.15625,0.0,20.15625,0.0,0.0,0.0,0.0,20.15625,0.0
Ghana,GHA,30.78125,0.0,30.78125,0.0,0.0,0.0,0.0,0.0,48.9375,36.65625
Guatemala,GTM,2825.6875,44.0625,2839.140625,115.3125,0.46875,0.5625,12.984375,70.6875,3369.625,3082.828125
