Year,Bean Exports,Bean Imports,Exports,Imports,Roast & Ground Exports,Roast & Ground Imports,Soluble Exports,Soluble Imports,Total Distribution,Production
1960,39363,211,39518,337,63,117,92,9,120451,61419
1961,42579,184,42769,302,55,109,135,9,138350,73466
1962,43261,167,43414,288,40,115,113,6,138712,63681
1963,46610,142,46783,263,67,109,106,12,140758,59879
1964,38318,92,38436,217,54,113,64,12,124912,48393
1965,46112,223,46376,369,31,131,233,15,147190,76984
1966,44760,265,45313,420,19,141,534,14,144505,60130
1967,50410,246,51171,393,49,133,712,14,146625,64700
1968,48703,219,49682,364,66,125,913,20,136462,58628
1969,49778,264,50960,387,74,106,1108,17,132544,63671
1970,45762,360,47058,486,105,110,1191,16,117569,53908
1971,51837,374,53616,478,241,93,1538,11,119891,67646
1972,54055,334,56373,442,337,88,1981,20,119273,71476
1973,52503,455,54756,568,185,88,2068,25,105859,59711
1974,48840,371,50965,468,231,69,1894,28,110690,76833
1975,50082,318,52528,425,366,73,2080,34,108514,66559
1976,48111,356,50555,534,344,139,2100,39,92433,54800
1977,42661,499,43669,627,180,111,828,17,90687,66378
1978,56174,491,58755,678,217,177,2364,10,101906,72826
1979,54862,415,57584,653,219,158,2503,80,101062,76521
1980,53090,400,56014,675,173,179,2751,96,102853,78458
1981,55119,466,59201,755,230,188,3852,101,119711,92344
1982,58218,472,60669,733,214,154,2237,107,116855,75951
1983,59776,351,62680,606,346,145,2558,110,122746,85946
1984,64024,260,67417,456,301,101,3092,95,124316,84135
1985,61671,213,64190,397,243,98,2276,86,125201,89635
1986,59841,139,62224,262,294,84,2089,39,113337,73044
1987,60268,165,62737,296,334,95,2135,36,128445,97992
1988,63819,281,66312,415,158,106,2335,28,133636,88336
1989,74793,135,77814,258,126,90,2895,33,136789,90134
1990,67525,207,70110,331,80,27,2505,97,133671,95096
1991,74014,177,76730,291,51,11,2665,103,140421,98572
1992,67959,569,71704,713,116,14,3629,130,131021,88644
1993,66828,462,71063,585,105,8,4130,115,127261,88723
1994,60923,955,65066,1070,227,14,3916,101,126585,92003
1995,65470,995,70148,1079,227,9,4451,75,125256,84935
1996,75762,981,80040,1091,194,12,4084,98,130046,97645
1997,68009,1023,72295,1220,190,32,4096,165,119923,92804
1998,78280,1218,82145,1435,267,16,3598,201,130230,106089
1999,82596,984,87314,1303,285,78,4433,241,131895,107984
2000,80883,1119,86651,1488,285,95,5483,274,132496,111752
2001,78955,1201,85072,7094,333,141,5784,425,134535,107634
2002,84158,31805,91023,35156,406,927,6459,2424,182769,125145
2003,80651,31736,87924,35580,323,973,6950,2871,175780,108243
2004,83441,33431,91905,38439,311,1189,8153,3819,182400,119885
2005,83008,33707,91709,39529,542,1262,8159,4560,179489,115585
2006,93827,36654,103142,42776,811,1361,8504,4761,193159,131323
2007,86736,36700,97834,44708,1260,1649,9838,6359,187104,121975
2008,90430,37815,101348,45554,1357,1444,9561,6295,196687,134598
2009,90449,39046,103257,48128,1303,1496,11505,7586,196346,127119
2010,99603,42681,114192,52023,1398,1544,13191,7798,207485,139544
2011,99785,46003,114772,56373,1451,1713,13536,8657,212153,142982
2012,103594,46702,119758,58125,1660,1751,14504,9672,227273,156038
2013,108684,47880,125617,59231,2035,1919,14898,9432,238850,158139
2014,102596,46917,120760,58945,2303,2014,15861,10014,236740,152176
2015,110952,50020,129350,64394,2157,1773,16241,12601,242495,150584
2016,111815,52540,129296,69133,2267,2572,15214,14021,248288,159809
2017,111874,53745,129489,70165,2280,2785,15335,13635,247732,158339
2018,119433,58083,137844,75278,2584,3360,15827,13835,264671,173711
2019,114770,52498,133176,70530,2692,3410,15714,14622,257139,167050
2020,120442,54512,139526,72708,3087,3656,15997,14540,266413,175424
2021,118067,57231,137461,77867,3033,3796,16361,16840,263233,163709
2022,110726,53499,128652,73733,2681,3581,15245,16653,252858,163217
2023,118775,56855,136676,76372,2711,3582,15190,15935,261965,169800
