,level_0,index,Country,Year,Aroma,Flavor,Aftertaste,Acidity,Balance,Sweetness,Exports
0,0,0,Brazil,2011.0,8.141,7.992,7.7909999999999995,7.784000000000001,7.816,10.0,29843.0
1,1,1,Brazil,2012.0,7.625,7.6,7.408499999999999,7.5005,7.513,9.9665,30660.0
2,2,2,Brazil,2013.0,7.5371428571428565,7.511428571428572,7.405714285714287,7.452857142857143,7.512857142857143,10.0,34146.0
3,3,3,Brazil,2014.0,7.421176470588235,7.548235294117647,7.461764705882352,7.431764705882353,7.5188235294117645,9.72529411764706,36573.0
4,4,4,Brazil,2015.0,7.401818181818182,7.559545454545455,7.359545454545454,7.4804545454545455,7.579999999999999,10.0,35543.0
5,5,5,Brazil,2016.0,7.47,7.5,7.470714285714286,7.548571428571429,7.446428571428571,9.952142857142858,33081.0
6,6,6,Brazil,2017.0,7.507692307692308,7.525384615384615,7.429230769230769,7.537692307692307,7.403846153846154,10.0,30454.0
7,7,7,China,2013.0,7.3125,7.2925,7.1875,7.3125,7.23,9.665,1348.0
8,8,8,China,2015.0,7.7508333333333335,7.736666666666667,7.583333333333333,7.666666666666667,7.654166666666666,10.0,2030.0
9,9,9,Colombia,2011.0,7.4575,7.5225,7.3325,7.395,7.605,10.0,7360.0
10,10,10,Colombia,2012.0,7.630740740740741,7.638518518518519,7.5851851851851855,7.582962962962963,7.654444444444444,9.950740740740741,8855.0
11,11,11,Colombia,2013.0,7.640277777777778,7.558333333333334,7.504722222222223,7.567222222222223,7.687222222222222,10.0,11040.0
12,12,12,Colombia,2014.0,7.67764705882353,7.617058823529412,7.594705882352942,7.681176470588236,7.862941176470588,10.0,12420.0
13,13,13,Colombia,2015.0,7.77625,7.704375,7.696875,7.6825,7.755,10.0,12390.0
14,14,14,Colombia,2016.0,7.602352941176471,7.661176470588236,7.567058823529411,7.54,7.772941176470588,10.0,13755.0
15,15,15,Colombia,2017.0,7.731999999999999,7.632,7.516,7.548,7.831999999999999,10.0,12725.0
16,16,16,Costa Rica,2012.0,7.75,7.83,7.75,8.0,7.67,10.0,1411.0
17,17,17,Costa Rica,2013.0,7.60375,7.4175,7.45875,7.52,7.51,10.0,1265.0
18,18,18,Costa Rica,2014.0,7.666875,7.524375,7.499375,7.500625,7.691875,9.958125,1180.0
19,19,19,Costa Rica,2015.0,7.788181818181818,7.530909090909091,7.553636363636364,7.500909090909091,7.607272727272728,10.0,1220.0
20,20,20,Costa Rica,2016.0,7.605714285714286,7.63,7.607142857142857,7.715714285714285,7.62,10.0,1120.0
21,21,21,Costa Rica,2017.0,7.92,7.67,7.92,7.75,7.58,10.0,1210.0
22,22,22,El Salvador,2012.0,7.75,7.33,7.33,7.5,7.5,10.0,1185.0
23,23,23,El Salvador,2013.0,7.890000000000001,7.8066666666666675,7.526666666666666,7.390000000000001,7.723333333333334,10.0,500.0
