Country,Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply,id
Albania,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALB
Algeria,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DZA
Angola,1996,0,51,0,23,38,5,51,0,0,71,0,0,71,38,0,0,0,94,94,AGO
Argentina,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARG
Armenia,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARM
Australia,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUS
Benin,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEN
Bolivia,1996,133,105,0,184,40,172,105,0,0,133,0,0,0,40,0,0,0,317,317,BOL
Bosnia and Herzegovina,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIH
Brazil,1996,22700,16590,12,16000,11000,14128,18885,13,0,28000,5,1,5300,10500,500,2290,0,44013,44013,BRA
Burundi,1996,396,186,0,316,2,529,186,0,0,401,0,0,5,2,0,0,0,717,717,BDI
Cameroon,1996,49,1376,0,124,100,80,1376,0,0,1432,0,0,1383,95,5,0,0,1556,1556,CMR
Canada,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAN
Central African Republic,1996,0,201,0,234,10,231,201,0,0,208,0,0,208,10,0,0,0,442,442,CAF
Chile,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHL
China,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN
Colombia,1996,10779,10568,0,6328,1500,4420,11187,0,0,10779,100,0,0,1250,250,519,0,17107,17107,COL
