Country,Year_x,id,Exports,Year_y,Imports
Albania,2016.0,ALB,263787.0,2016.0,1807.0
Algeria,2016.0,DZA,115417.0,0.0,0.0
Angola,2016.0,AGO,1852161.0,0.0,0.0
Antigua and Barbuda,2016.0,ATG,108583.0,0.0,0.0
Argentina,2016.0,ARG,484660804.0,2016.0,158082597.0
Armenia,2016.0,ARM,1.0,0.0,0.0
Aruba,2016.0,ABW,160240.0,0.0,0.0
Australia,2016.0,AUS,44729683.0,2016.0,1388862.0
Austria,2016.0,AUT,253382.0,2016.0,39520121.0
Bahamas,2016.0,BHS,194849.0,2016.0,5.0
Bahrein,2016.0,BHR,455698.0,0.0,0.0
Bangladesh,2016.0,BGD,8681377.0,0.0,0.0
Barbados,2016.0,BRB,1177967.0,2016.0,171.0
Belarus,0.0,BLR,0.0,2016.0,6.0
Belgium,2016.0,BEL,499158894.0,2016.0,2235229.0
Belize,2016.0,BLZ,153675.0,0.0,0.0
Benin,2016.0,BEN,1104534.0,0.0,0.0
Bhutan,0.0,BTN,0.0,2016.0,201.0
Bolivia,2016.0,BOL,66480753.0,2016.0,0.0
Bosnia and Herzegovina,0.0,BIH,0.0,2016.0,5.0
Botswana,2016.0,BWA,101.0,0.0,0.0
Brazil,0.0,BRA,0.0,2016.0,160951.0
Bulgaria,2016.0,BGR,40.0,2016.0,1457.0
Burkina Faso,2016.0,BFA,98757.0,0.0,0.0
Cambodia,2016.0,KHM,112963.0,2016.0,56.0
Cameroon,2016.0,CMR,4010323.0,0.0,0.0
Canada,2016.0,CAN,9588253.0,2016.0,129275837.0
Cape Verde,2016.0,CPV,122089.0,0.0,0.0
Cayman Islands,2016.0,CYM,251610027.0,0.0,0.0
Chile,2016.0,CHL,123328271.0,2016.0,41187107.0
China,2016.0,CHN,5228425830.0,2016.0,118283863.0
Colombia,2016.0,COL,43361770.0,2016.0,9466228.0
Congo,2016.0,COG,263.0,0.0,0.0
Costa Rica,2016.0,CRI,6890953.0,2016.0,116230.0
Cote D'Ivore,2016.0,CIV,4405486.0,0.0,0.0
Croatia,2016.0,HRV,706878.0,2016.0,322.0
Cuba,2016.0,CUB,6084230.0,2016.0,50.0
Curaçao,2016.0,CUW,19050.0,0.0,0.0
Cyprus,2016.0,CYP,312417.0,0.0,0.0
Czech Republic,2016.0,CZE,9.0,2016.0,297663.0
Democratic Republic of the Congo,2016.0,COD,1429819.0,0.0,0.0
Denmark,2016.0,DNK,786.0,2016.0,77230.0
Djibouti,2016.0,DJI,69131.0,0.0,0.0
Dominica Island,2016.0,DMA,75601.0,0.0,0.0
Dominican Republic,2016.0,DOM,21883898.0,2016.0,60388.0
Ecuador,2016.0,ECU,72422767.0,2016.0,31.0
Egypt,2016.0,EGY,47489233.0,2016.0,8748.0
El Salvador,2016.0,SLV,4175858.0,2016.0,372.0
Equatorial Guinea,2016.0,GNQ,203490.0,0.0,0.0
Estonia,2016.0,EST,92.0,2016.0,222.0
Ethiopia,2016.0,ETH,8.0,0.0,0.0
Fiji,2016.0,FJI,3.0,0.0,0.0
Finland,2016.0,FIN,653213.0,2016.0,91971434.0
France,2016.0,FRA,451519940.0,2016.0,14927589.0
French Guyana,2016.0,GUF,871.0,0.0,0.0
French Polynesia,2016.0,PYF,15714.0,0.0,0.0
Gabon,2016.0,GAB,234909.0,0.0,0.0
Gambia,2016.0,GMB,1334845.0,0.0,0.0
Georgia,2016.0,GEO,112.0,0.0,0.0
Germany,2016.0,DEU,142959605.0,2016.0,57252404.0
Ghana,2016.0,GHA,8109822.0,0.0,0.0
Greece,2016.0,GRC,2342300.0,2016.0,27899.0
Grenada,2016.0,GRD,39.0,2016.0,0.0
Guadeloupe,2016.0,GLP,15.0,0.0,0.0
Guatemala,2016.0,GTM,7718763.0,2016.0,1739.0
Guernsey,2016.0,GGY,2.0,0.0,0.0
Guinea,2016.0,GIN,1640483.0,0.0,0.0
Guinea-Bissau,2016.0,GNB,736.0,0.0,0.0
Guyana,2016.0,GUY,215012.0,0.0,0.0
Haiti,2016.0,HTI,1237542.0,0.0,0.0
Honduras,2016.0,HND,9762539.0,2016.0,152.0
