Country,Info,Month,Year,Value,Code
Albania,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",1,2025,118015,ALB
Albania,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",2,2024,46678,ALB
Albania,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",3,2024,46294,ALB
Albania,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",4,2025,24413,ALB
Albania,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",5,2025,22760,ALB
Albania,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",7,2025,23028,ALB
Albania,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",8,2025,43259,ALB
Albania,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",9,2024,47649,ALB
Albania,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",9,2025,22270,ALB
Albania,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",10,2024,139795,ALB
Albania,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",10,2025,23588,ALB
Albania,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",11,2024,21061,ALB
Albania,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",11,2025,45663,ALB
Albania,"Papel Kraft, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2",1,2022,24622,ALB
Albania,"Papel Kraft, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2",1,2026,45484,ALB
Albania,"Papel Kraft, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2",5,2024,43810,ALB
Albania,"Papel Kraft, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2",5,2025,121296,ALB
Albania,"Papel Kraft, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2",7,2025,43890,ALB
Albania,"Papel Kraft, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2",8,2021,96614,ALB
Albania,"Papel Kraft, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2",11,2020,67351,ALB
Albania,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",6,2023,98813,ALB
Albania,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",9,2025,24079,ALB
Algeria,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",1,2021,152210,DZA
Algeria,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",2,2021,102084,DZA
Algeria,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",4,2024,42183,DZA
Algeria,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",5,2020,230322,DZA
Algeria,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",8,2020,48759,DZA
Algeria,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",9,2020,49104,DZA
Algeria,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",11,2024,21811,DZA
Algeria,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",11,2025,98009,DZA
Algeria,"Papel Kraft para sacos de grande capacidade, cru, em rolos ou em folhas",12,2025,98155,DZA
Algeria,"Papel Kraft, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2",6,2020,47994,DZA
Algeria,"Papel Kraft, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2",7,2020,490596,DZA
Algeria,"Papel Kraft, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2",10,2020,193740,DZA
Algeria,"Papel Kraft, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2",10,2023,49136,DZA
Algeria,"Papel Kraft, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2",11,2023,133943,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",1,2022,237742,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",2,2021,983612,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",2,2022,49266,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",2,2023,463792,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",2,2026,300775,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",3,2023,316298,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",3,2026,220361,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",4,2023,277134,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",4,2026,333151,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",5,2020,2060788,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",5,2021,490073,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",5,2022,198443,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",5,2026,354906,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",6,2020,100486,DZA
Algeria,"Papel Kraft, sem fibra obtida por processo mecânico, de peso igual ou superior a 40 g/m2, mas não superior a 150 g/m2, em rolos",6,2021,502384,DZA
